time,in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type
2024-04-08 13:28:03,0,0,43,87,0,1,0
2024-04-08 13:28:04,0,8,45,46,0,1,0
2024-04-08 13:28:05,0,21,180,178,0,0,0
2024-04-08 13:28:06,0,22,58,71,0,0,0
2024-04-08 13:28:08,0,8,32,29,0,0,0
2024-04-08 13:28:10,0,6,48,54,0,1,0
2024-04-08 13:28:12,0,6,44,47,0,1,0
2024-04-08 13:28:13,0,11,42,47,0,1,0
2024-04-08 13:28:15,0,14,60,68,0,1,0
2024-04-08 13:28:17,0,5,52,49,0,1,0
2024-04-08 13:28:20,0,6,38,37,0,1,0
2024-04-08 13:28:24,0,20,54,57,0,0,0
2024-04-08 13:28:25,0,12,33,33,0,0,0
2024-04-08 13:28:27,0,10,69,64,0,0,0
2024-04-08 13:28:29,0,6,46,39,0,0,0
2024-04-08 13:28:35,0,13,104,104,0,0,0
2024-04-08 13:28:37,0,7,33,33,0,0,0
2024-04-08 13:28:37,0,26,52,45,0,0,0
2024-04-08 13:28:38,0,47,27,40,0,0,0
2024-04-08 13:28:42,0,7,25,26,0,0,0
2024-04-08 13:28:43,0,15,50,49,1,0,0
2024-04-08 13:28:45,0,5,44,40,0,0,0
2024-04-08 13:28:46,0,9,35,31,0,0,0
2024-04-08 13:28:50,0,5,61,51,0,0,0
2024-04-08 13:28:51,0,6,44,33,0,0,0
2024-04-08 13:28:52,0,9,39,35,0,0,0
2024-04-08 13:28:57,0,0,306,183,0,0,0
2024-04-08 13:29:00,0,37,77,110,0,0,0
2024-04-08 13:29:02,29,0,17,83,0,0,1
2024-04-08 13:29:03,0,0,80,82,0,0,1
2024-04-08 13:29:05,44,0,92,86,0,0,1
2024-04-08 13:29:07,0,5,26,26,0,1,0
2024-04-08 13:29:09,0,4,33,33,0,1,0
2024-04-08 13:29:10,0,10,33,38,0,1,0
2024-04-08 13:29:14,0,21,51,60,0,0,0
2024-04-08 13:29:15,0,10,52,51,0,0,0
2024-04-08 13:29:19,0,0,84,134,0,1,0
2024-04-08 13:29:23,0,0,61,147,0,1,0
2024-04-08 13:29:29,0,0,246,342,0,0,0
2024-04-08 13:29:31,0,13,38,29,0,0,0
2024-04-08 13:29:33,0,12,36,40,0,0,0
2024-04-08 13:29:34,0,26,36,57,0,1,0
2024-04-08 13:29:34,5,16,46,60,0,0,0
2024-04-08 13:29:36,0,27,100,90,0,0,0
2024-04-08 13:29:38,0,20,56,60,0,0,0
2024-04-08 13:29:39,0,46,38,36,0,0,0
2024-04-08 13:29:40,0,8,36,39,0,1,0
2024-04-08 13:29:40,0,5,29,32,0,1,0
2024-04-08 13:29:42,0,5,32,34,0,1,0
2024-04-08 13:29:51,0,2,44,62,0,1,1
2024-04-08 13:29:52,11,0,14,48,0,1,1
2024-04-08 13:29:53,0,29,77,85,0,0,0
2024-04-08 13:29:54,0,13,29,32,0,0,0
2024-04-08 13:30:08,8,0,289,314,0,0,1
2024-04-08 13:30:16,0,7,41,43,0,1,0
2024-04-08 13:30:24,0,12,50,59,0,1,0
2024-04-08 13:30:35,155,0,223,77,0,1,1
2024-04-08 13:30:50,0,6,28,24,0,1,0
2024-04-08 13:30:51,0,11,44,51,0,1,0
2024-04-08 13:31:00,3,0,45,49,0,1,0
2024-04-08 13:31:04,15,0,168,204,0,1,1
2024-04-08 13:31:10,6,0,74,76,0,1,1
2024-04-08 13:31:11,9,0,61,64,0,1,1
2024-04-08 13:31:13,8,0,94,97,0,1,1
